LOCATION,SUBURB,Reason Code,Audit Date
Abey Road,COBBLEBANK,BCD,May-2024
Acacia Street,GLENROY,BCD,Aug-2024
Adam Street,GOLDEN SQUARE,ACD,May-2024
Agar Road,CORONET BAY,BC,Sep-2024
Airport Drive,MELBOURNE AIRPORT,ABCD,T
Aitken Boulevard,ROXBURGH PARK,ABC,Aug-2024
Aitken Boulevard,CRAIGIEBURN,ABCD,Aug-2024
Aitken Street,ALEXANDRA,C,Apr-2024
Albert Road,WARRAGUL,ABC,T
Albert Road,SOUTH MELBOURNE,ABCD,Apr-2024
Albert Street,EAST MELBOURNE,A,Aug-2024
Albion Street,BRUNSWICK WEST,ABC,Aug-2024
Alexanders Road,MORWELL,BC,Feb-2024
Alexandra Street,GREENSBOROUGH,BD,May-2024
Alfred Street,HEIDELBERG HEIGHTS,ABCD,Apr-2024
Allan Street,KYABRAM,ABCD,May-2024
Allenby Avenue,RESERVOIR,C,Aug-2024
Allies Road,MYERS FLAT,AC,May-2024
Allingham Street,KANGAROO FLAT,BCD,May-2024
Alma Street,TOOTGAROOK,BC,Sep-2024
Ambrose Treacy Drive,BUNDOORA,BC,Aug-2024
Anakie Road,BELL PARK,BC,Aug-2024
Anderson Road,SUNSHINE,ABCD,Jun-2024
Anderson Road,FAWKNER,C,Aug-2024
Anderson Street,MELBOURNE,BCD,Aug-2024
Andersons Creek Road,DONCASTER EAST,ABCD,Jun-2024
Anzac Avenue,SEYMOUR,ABCD,T
Anzac Parade,BANDIANA,ABCD,Aug-2024
Anzac Road,TRAFALGAR,B,T
Apollo Road,TAYLORS LAKES,BC,May-2024
Ararat-Halls Gap Road,POMONAL,ABC,T
Ararat-Halls Gap Road,JALLUKAR,AC,T
Ararat-Halls Gap Road,MOYSTON,AC,T
Arcadia Avenue,THE BASIN,ABCD,Jul-2024
Army Road,PAKENHAM,B,Apr-2024
Army Road,PAKENHAM UPPER,BC,Apr-2024
Arnot Street,BONNIE DOON,BCD,Apr-2024
Arthur Street,ST ALBANS,BCD,Jun-2024
Arthurs Creek Road,ARTHURS CREEK,ABC,Aug-2024
Arthurs Creek Road,YAN YEAN,AC,Aug-2024
Arthurs Seat Road,RED HILL,BCD,Sep-2024
Arundel Road,KEILOR,C,May-2024
Ascot Vale Road,ASCOT VALE,C,Aug-2024
Atherton Road,OAKLEIGH,ABCD,Jun-2024
Atkins Road,PAKENHAM,B,Apr-2024
Auburn Road,HAWTHORN,ABD,Jun-2024
Aughtie Drive,ALBERT PARK,BC,Jun-2024
Avenel Road,SEYMOUR,BC,Aug-2024
Avenel-Nagambie Rd,AVENEL,C,Aug-2024
Avenel-Nagambie Road,AVENEL,C,Aug-2024
Avenue of Honour,WOODEND NORTH,ACD,May-2024
Averys Road,EAGLEHAWK,ABCD,May-2024
Avondale Avenue,ST ALBANS,BC,May-2024
Axe Creek Road,AXE CREEK,C,May-2024
Bacchus Marsh Road,LITTLE RIVER,ABCD,T
Bacchus Marsh Road,CORIO,ABCD,T
Back Beach Road,VENTNOR,A,Sep-2024
Back Eildon Road,THORNTON,C,Apr-2024
Back Porepunkah Road,POREPUNKAH,ABCD,Apr-2024
Bakers Road,NOBLE PARK NORTH,C,Aug-2024
Balcombe Road,BEAUMARIS,ABC,Mar-2024
Balcombe Road,MENTONE,AC,Jun-2024
Ballan Road,BATESFORD,ABC,Aug-2024
Ballan Road,WYNDHAM VALE,C,T
Ballan-Daylesford Road,BUNDING,ABC,Aug-2024
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Aug-2024
Ballarat Road,MAIDSTONE,ABC,Apr-2024
Ballarat Road,DEER PARK,ABCD,May-2024
Ballarat Road,RAVENHALL,BC,May-2024
Ballarat Road,FOOTSCRAY,C,T
Ballarat Road,HAMILTON,C,May-2024
Ballarat-Maryborough Road,DAISY HILL,ACD,Aug-2024
Ballarto Road,SKYE,ABC,Sep-2024
Ballarto Road,CARRUM DOWNS,C,Sep-2024
Balwyn Road,BALWYN,C,May-2024
Bambra Road,CAULFIELD SOUTH,C,Jun-2024
Banbury Road,RESERVOIR,BCD,Aug-2024
Bandiana Link,WODONGA,ABCD,Aug-2024
Bandiana Link Road,WODONGA,ABCD,May-2024
Bank Street,AVENEL,C,Aug-2024
Banksia Street,HEIDELBERG HEIGHTS,BC,Aug-2024
Banksia Street,IVANHOE,BCD,Aug-2024
Bannons Lane,YARRAMBAT,AC,Aug-2024
Banyule Road,VIEWBANK,ABCD,Aug-2024
Baranduda Boulevard,LENEVA,ABCD,May-2024
Baranduda Boulevard,BARANDUDA,ABCD,Aug-2024
Barkers Road,HAWTHORN EAST,ACD,Jul-2024
Barkers Road,KEW,ACD,Jul-2024
Barkly Street,WEST FOOTSCRAY,C,T
Barkly Street West,ARARAT,B,T
Barmah-Shepparton Road,BUNBARTHA,ABCD,Aug-2024
Barmah-Shepparton Road,ZEERUST,AC,Aug-2024
Barnes Boulevard,HORSHAM,C,T
Barrabool Road,HIGHTON,BC,Aug-2024
Barrands Lane,DRYSDALE,ABCD,Aug-2024
Barries Road,MELTON,C,May-2024
Barry Road,COOLAROO,ABC,Aug-2024
Barry Road,DALLAS,ABCD,Aug-2024
Barry Road,CAMPBELLFIELD,BCD,Aug-2024
Barrymore Road,GREENVALE,C,Aug-2024
Barwon Heads Road,CONNEWARRE,ABC,Aug-2024
Bass Highway,INVERLOCH,ABC,Sep-2024
Bass Highway,LANG LANG,ABCD,T
Bass Highway,LANG LANG SOUTH,AC,Sep-2024
Bass Highway,DALYSTON,C,Sep-2024
Bass Highway,LEONGATHA SOUTH,C,Sep-2024
Bass Highway,THE GURDIES,C,Sep-2024
Bass Highway,WONTHAGGI,C,Sep-2024
Batesford Road,CHADSTONE,ABCD,Nov-2023
Batesford Road,MALVERN EAST,CD,Jun-2024
Baxter-Tooradin Road,BAXTER,ABC,Sep-2024
Baxter-Tooradin Road,PEARCEDALE,B,Apr-2024
Baxter-Tooradin Road,DEVON MEADOWS,C,Apr-2024
Bayswater Road,CROYDON,ABCD,Jul-2024
Bayview Road,ROSEBUD,C,Sep-2024
Beach Road,BLACK ROCK,ABCD,Jun-2024
Beach Road,BEAUMARIS,AC,Mar-2024
Beach Road,SANDRINGHAM,ACD,Jun-2024
Beach Road,MORDIALLOC,C,Mar-2024
Beach Road,PARKDALE,C,Jun-2024
Beach Street,FRANKSTON,C,Sep-2024
Beacon Point Road,CLIFTON SPRINGS,BC,Aug-2024
Beaconsfield Parade,MIDDLE PARK,ABCD,Jun-2024
Beaconsfield Parade,ALBERT PARK,BCD,Jun-2024
Beaconsfield-Emerald Road,BEACONSFIELD,A,Apr-2024
Beaconsfield-Emerald Road,DEWHURST,AC,Apr-2024
Beaufort-Skipton Road,LAKE GOLDSMITH,C,Jan-2024
Beechworth Road,WODONGA,ABCD,Aug-2024
Beechworth-Wodonga Road,LENEVA,C,May-2024
Belgrave Road,MALVERN EAST,C,Jun-2024
Belgrave-Hallam Road,NARRE WARREN EAST,ABC,Jul-2024
